album,title,artists,composers,time,date
Dave Digs Disney,Give A Little Whistle,Dave Brubeck,"Jean Cis, Leigh Harline, Ned Washington",10:01pm,2016-04-30
Jump To It,Second Balcony Jump,Dave Babcock And His Jump Orchestra,"G Valentine, Billy Eckstine",10:09pm,2016-04-30
Swingin' Easy With Sarah Vaughan,They Can't Take That Away From Me,Sarah Vaughan,Roy Haynes,10:13pm,2016-04-30
Presenting The Ross Taggart Trio,Canadiana Suite/Hogtown Blues,"Ross Taggart, Ross Taggart Trio, Ken Lister, Craig Scott",Oscar Peterson,10:16pm,2016-04-30
Hutchinson Andrew Trio: Prairie Modern,Waltz For Clay,Hutchinson Andrew Trio,Chris Andrew,10:22pm,2016-04-30
Stephane Grappelli: Shades Of Django,Ain't Misbehavin',Stephane Grappelli,"Thomas ""Fats"" Waller, Harry Brooks, Andy Razaf",10:27pm,2016-04-30
Diana Krall: When I Look In Your Eyes,I Can't Give You Anything But Love,Diana Krall,"Jimmy Mchugh, Dorothy Fields",10:32pm,2016-04-30
City Folk,Farms,James Farm,Aaron Parks,10:34pm,2016-04-30
"Oscar, With Love",The Contessa,Makoto Ozone,Oscar Peterson,10:40pm,2016-04-30
Sonny Stitt: Sits In With The Os,Easy Does It,"Sonny Stitt,  Oscar Peterson",Ray Brown,10:46pm,2016-04-30
John Pizzarelli: Midnight Mccartney,My Love,John Pizzarelli,"Paul Mccartney, Linda Mccartney",10:51pm,2016-04-30
Solo Retrospective,Lily,Steve Koven,Steve Koven,10:56pm,2016-04-30
The Gaits (Single),The Gaits (Feat. Sin Fang),Zoon Van Snook,"Zoon Van Snook, Sindri Mar Sigfusson",11:08pm,2016-04-30
Doing The Right Thing (Single),Doing The Right Thing,Daughter,"Elena Tonra, Remi Aguilella, Igor Haefeli",11:12pm,2016-04-30
Tookah,Tookah,Emiliana Torrini,Emiliana Torrini,11:18pm,2016-04-30
Psychic Materials,This War Is More Than Us,Casey Mecija,Casey Mecija,11:21pm,2016-04-30
Morning Phase,Blue Moon,Beck,Beck,11:25pm,2016-04-30
Roses,Can't Get Your Love,Coeur De Pirate,Coeur De Pirate,11:29pm,2016-04-30
Horizontal Lines,Faraway Car Ride,Twin Within,"Alex Samaras, Steve Mckay",11:32pm,2016-04-30
Javelin,Baby Moses,Jordan Klassen,Jordan Klassen,11:38pm,2016-04-30
